Draft Order,Team,Coach,Abbreviation,SD Name,Logo Link,Logo,Division,Discord
1,San Antonio Spoinks,CocoPuffsOrNah,SAS,CocoPuffsOrNah,https://i.imgur.com/0BfUe8C.png,,Ruby,CocoPuffsOrNah
6,Raging Regis,Rat,RR,the golden leg,https://i.imgur.com/W4cUNvM.png,,Ruby,theratking1v9
3,Dragonite's Darlings,Ninga,DD,myningapatrick,https://i.imgur.com/UGnTDwc.png,,Ruby,Ninga
13,Catherby Carvanhas,Derisin / Yub,CC,Derisin / Relented,,,Ruby,Derisin / Relented
14,Smeargle Wizard Money Gang,Gammag8,SWMG,Big Tony 2014,https://i.imgur.com/UAZAuFV.png,,Ruby,4speedlaughingemoji
9,Definitely Not Moist Esports,Dorey Cay,DNME,IAmDoreyCay,https://i.imgur.com/Vl6XIlU.png,,Ruby,doreycay
15,Juuling Jumpluffs,Scraftionite,JJ,Scraftionite ,https://i.imgur.com/tmJa7kR.png,,Ruby,Scrafty
12,McFeeds Mareeps,McFeeds,MM,McFeeds,https://i.imgur.com/B2eW8a2.png,,Ruby,McFeeds
11,Pengu's Allegiant Poketmons,Penguin SPQR,PAP,Penguin SPQR,https://i.imgur.com/I31snns.png,,Sapphire,penguinspqr
7,Turtwig's Tax Evaders,IRS Bountyhunter,Tax,sparkbladexd,,,Sapphire,Theirs
16,Killerfox’s Rare Candies,Killerfox,KRC,Killerfox007,https://i.imgur.com/KNqTJBC.png,,Sapphire,Killerfox007
4,Kentucky Crobats,Samuel May,KC,Split2ndPlays,https://i.imgur.com/iR3MZwq.png,,Sapphire,Split 2nd#6113
10,El Kec Kecleons,Bunnylord,Kec,bunnylord318,,,Sapphire,Bunnylord318
5,The Gardevoir Guardians,Thunder,TGG,firefang5567,https://i.imgur.com/TJubDpg.png,,Sapphire,Thundermcbuster
2,Alolan Raichu Defense Force,Sarryn,ARDF,SarrynDotWav,https://i.imgur.com/cp7XD1L.png,,Sapphire,Kurido
8,Fortress Forretress,Fortress,FF,EverythingMan,https://i.imgur.com/HMThBye.png,,Sapphire,FortressDoor
16,Strictttttttt's Ttttttttttteam ,Strict,ST,Strictt,,,Diamond,Stricttt
14,Ardougne Splash Squad,Keorra,ASS,Keorra,https://i.imgur.com/K08wmtB.png,,Diamond,Keorra
1,Sootopolis Sableyes,Sage,SoS,SageH4,https://i.imgur.com/vEA9q17.png,,Diamond,sagehughes
12,Philadelphia Phanpys,Fini,PP,Lilnick724,https://i.imgur.com/zOurfNM.jpeg,,Diamond,Finilol
8,Paldean Porygons,Klipsse,Pal,Klipsse,https://i.imgur.com/Vniso0F.png,,Diamond,Klipsse
13,Water's Woopers,Water,WW,water984,https://i.imgur.com/sYtkrfv.png,,Diamond,water984
10,Easton's Starmies,Eastonn8,EAS,Eastonn8,https://i.imgur.com/hHR7iZT.png,,Diamond,Eastonn8
6,Relic Castle Royals,FireMana,RCR,Fire_Mana_,https://i.imgur.com/MxEWAX5.png,,Diamond,firemana
9,Michigan Moshers,Jacob,MMo,Feelingsonder,https://i.imgur.com/RM2v060.png,,Pearl,Thedinkster76
4,Maj0r Mudkip,EDN Maj0r,MP,EDNMaj0r,https://i.imgur.com/Dj6ziqb.png,,Pearl,Maj0r
7,Cherrim Coke II,Cherrie,CCII,rika fangirl,https://i.imgur.com/j913wsy.png,,Pearl,cherrie_coke
5,Eqqcadrills ,Eqq,Eqq,eqqrolls,,,Pearl,eqqrolls
11,Syracuse Stormclouds,Chris,SSc,Chris V9,,,Pearl,chris.syn
15,Sanserino Sandiles,Sanserino34,San,Sanserino34,https://i.imgur.com/eUaH4pB.jpeg,,Pearl,Big Bingus
2,Cheongseolmo's Skwovets,Cheongseolmo,CS,Cheongseolmo,https://i.imgur.com/LFPTetG.png,,Pearl,Cheongseolmo
3,Big Booty Bronzongs,boopbeepbop,BBB,yeyetron,,,Pearl,boopbeepbop
